Library Type	Run Type	read_length	mseqs	fastq_gb	split_gb	trimmed_gb	BAM_gb	derived_gb	Min Size (GB)	Practical Size (GB)	Full Size (GB)
SLAM-Seq	MiSeq Micro up to 300bp	150	3	0.5	0.5	0.5	0.8	0.0	0.5	1.4	2.5
SLAM-Seq	MiSeq Nano up to 300bp	150	1	0.2	0.2	0.2	0.3	0.0	0.2	0.5	0.8
SLAM-Seq	MiSeq Nano up to 500bp 	250	1	0.3	0.3	0.3	0.4	0.0	0.3	0.7	1.3
SLAM-Seq	MiSeq up to 150bp	150	32	2.9	2.9	2.9	4.4	0.0	2.9	7.3	13.2
SLAM-Seq	MiSeq up to 300bp	150	32	5.9	5.9	5.9	8.8	0.0	5.9	14.7	26.4
SLAM-Seq	MiSeq up to 50bp	50	32	1.0	1.0	1.0	1.5	0.0	1.0	2.5	4.6
SLAM-Seq	MiSeq up to 600bp	300	32	11.0	11.0	11.0	16.5	0.0	11.0	27.5	49.5
SLAM-Seq	NextSeq500 High Output up to 150bp 	150	460	42.1	42.1	42.1	63.2	0.0	42.1	105.3	189.6
SLAM-Seq	NextSeq500 High Output up to 300bp 	150	460	84.3	84.3	84.3	126.4	0.0	84.3	210.7	379.2
SLAM-Seq	NextSeq500 High Output up to 75bp	75	460	20.8	20.8	20.8	31.2	0.0	20.8	52.1	93.7
SLAM-Seq	NextSeq500 Mid Output up to 150bp	150	175	16.0	16.0	16.0	24.0	0.0	16.0	40.1	72.1
SLAM-Seq	NextSeq500 Mid Output up to 300bp 	150	175	32.1	32.1	32.1	48.1	0.0	32.1	80.2	144.3
Small RNA	MiSeq Micro up to 300bp	150	3	0.5	0.5	0.5	0.8	0.0	0.5	1.4	2.5
Small RNA	MiSeq Nano up to 300bp	150	1	0.2	0.2	0.2	0.3	0.0	0.2	0.5	0.8
Small RNA	MiSeq Nano up to 500bp 	250	1	0.3	0.3	0.3	0.4	0.0	0.3	0.7	1.3
Small RNA	MiSeq up to 150bp	150	32	2.9	2.9	2.9	4.4	0.0	2.9	7.3	13.2
Small RNA	MiSeq up to 300bp	150	32	5.9	5.9	5.9	8.8	0.0	5.9	14.7	26.4
Small RNA	MiSeq up to 50bp	50	32	1.0	1.0	1.0	1.5	0.0	1.0	2.5	4.6
Small RNA	MiSeq up to 600bp	300	32	11.0	11.0	11.0	16.5	0.0	11.0	27.5	49.5
Small RNA	NextSeq500 High Output up to 150bp 	150	460	42.1	42.1	42.1	63.2	0.0	42.1	105.3	189.6
Small RNA	NextSeq500 High Output up to 300bp 	150	460	84.3	84.3	84.3	126.4	0.0	84.3	210.7	379.2
Small RNA	NextSeq500 High Output up to 75bp	75	460	20.8	20.8	20.8	31.2	0.0	20.8	52.1	93.7
Small RNA	NextSeq500 Mid Output up to 150bp	150	175	16.0	16.0	16.0	24.0	0.0	16.0	40.1	72.1
Small RNA	NextSeq500 Mid Output up to 300bp 	150	175	32.1	32.1	32.1	48.1	0.0	32.1	80.2	144.3
